;Substructure;OccurrenceList0;OccurrenceList1;True/False Bonferonni;True/False Benj-Hoch
1519;ccc(cc)C(N)C(=O)NCC(=O)NCC;0,0,0,0;1,0,0,0;False;False
1520;ccc(c)C(N)C(=O)NCC(=O)NC(C)C(=O)O;0,0,0,0;1,0,0,0;False;False
1521;cc(O)cccC(N)C(=O)NCC(=O)NCC;0,0,0,0;1,0,0,0;False;False
1522;CC(NC(=O)CNC(=O)C(N)ccccO)C(=O)O;0,0,0,0;1,0,0,0;False;False
1523;CCNC(=O)CNC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1524;cc(cccO)CC(=O)NCC(=O)NC(C)C(=O)O;0,0,0,0;1,0,0,0;False;False
1525;ccc(cc)CC(=O)NCC(=O)NC(C)C(=O)O;0,0,0,0;1,0,1,0;False;False
1526;cc(O)cccCC(=O)NCC(=O)NC(C)C(=O)O;0,0,0,0;1,0,0,0;False;False
1527;cc(cccO)C(N)C(=O)NCCNCC;0,0,0,0;1,0,0,0;False;False
1528;ccc(cc)C(N)C(=O)NCCNCC;0,0,0,0;1,0,0,0;False;False
1529;ccc(c)C(N)C(=O)NCCNC(C)C(=O)O;0,0,0,0;1,0,0,0;False;False
1530;cc(O)cccC(N)C(=O)NCCNCC;0,0,0,0;1,0,0,0;False;False
1531;CC(NCCNC(=O)C(N)ccccO)C(=O)O;0,0,0,0;1,0,0,0;False;False
1532;CCNCCNC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1533;cc(cccO)CC(=O)NCCNC(C)C(=O)O;0,0,0,0;1,0,0,0;False;False
1534;ccc(cc)CC(=O)NCCNC(C)C(=O)O;0,0,0,0;1,0,1,0;False;False
1535;cc(O)cccCC(=O)NCCNC(C)C(=O)O;0,0,0,0;1,0,0,0;False;False
1536;cc(cccO)C(N)C(=O)NC1C(=O)NC1S;0,0,0,0;1,0,0,0;False;False
1537;ccc(cc)C(N)C(=O)NC1C(=O)NC1S;0,0,0,0;1,1,0,0;False;False
1538;ccc(c)C(N)C(=O)NC1C(=O)N(C)C1S;0,0,0,0;1,0,0,0;False;False
1539;cc(c)C(N)C(=O)NC1C(=O)N(CC(=O)O)C1S;0,0,0,0;1,1,0,0;False;False
1540;cc(O)cccC(N)C(=O)NC1C(=O)NC1S;0,0,0,0;1,0,0,0;False;False
1541;CN1C(=O)C(NC(=O)C(N)ccccO)C1S;0,0,0,0;1,0,0,0;False;False
1542;cccC(N)C(=O)NC1C(=O)N(CC(=O)O)C1S;0,0,0,0;1,1,0,0;False;False
1543;O=C(Cc1ccc(O)cc1)NC1C(=O)NC1S;0,0,0,0;1,0,0,0;False;False
1544;cc(cccO)CC(=O)NC1C(=O)N(C)C1S;0,0,0,0;1,0,0,0;False;False
1545;ccc(cc)CC(=O)NC1C(=O)N(C)C1S;0,0,0,0;1,0,1,0;False;False
1546;ccc(c)CC(=O)NC1C(=O)N(CC(=O)O)C1S;0,0,0,0;1,1,1,0;False;False
1547;cc(O)cccCC(=O)NC1C(=O)N(C)C1S;0,0,0,0;1,0,0,0;False;False
1548;O=C(O)CN1C(=O)C(NC(=O)CccccO)C1S;0,0,0,0;1,0,0,0;False;False
1549;NC(S)CNC(=O)C(N)c1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1550;cc(cccO)C(N)C(=O)NCC(S)NC;0,0,0,0;1,0,0,0;False;False
1551;ccc(cc)C(N)C(=O)NCC(S)NC;0,0,0,0;1,0,0,0;False;False
1552;ccc(c)C(N)C(=O)NCC(S)NCC(=O)O;0,0,0,0;1,1,0,0;False;False
1553;cc(O)cccC(N)C(=O)NCC(S)NC;0,0,0,0;1,0,0,0;False;False
1554;NC(ccccO)C(=O)NCC(S)NCC(=O)O;0,0,0,0;1,0,0,0;False;False
1555;CNC(S)CNC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1556;cc(cccO)CC(=O)NCC(S)NCC(=O)O;0,0,0,0;1,0,0,0;False;False
1557;ccc(cc)CC(=O)NCC(S)NCC(=O)O;0,0,0,0;1,1,1,0;False;False
1558;cc(O)cccCC(=O)NCC(S)NCC(=O)O;0,0,0,0;1,0,0,0;False;False
1559;NC(C(=O)NC(C=O)CS)c1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1560;NC(C(=O)NC1CNC1=O)c1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1561;cc(cccO)C(N)C(=O)NC1CN(C)C1=O;0,0,0,0;1,0,0,0;False;False
1562;ccc(cc)C(N)C(=O)NC1CN(C)C1=O;0,0,0,0;1,0,0,0;False;False
1563;ccc(c)C(N)C(=O)NC1CN(CC(=O)O)C1=O;0,0,0,0;1,1,0,0;False;False
1564;cc(O)cccC(N)C(=O)NC1CN(C)C1=O;0,0,0,0;1,0,0,0;False;False
1565;NC(ccccO)C(=O)NC1CN(CC(=O)O)C1=O;0,0,0,0;1,0,0,0;False;False
1566;CN1CC(NC(=O)Cc2ccc(O)cc2)C1=O;0,0,0,0;1,0,0,0;False;False
1567;cc(cccO)CC(=O)NC1CN(CC(=O)O)C1=O;0,0,0,0;1,0,0,0;False;False
1568;ccc(cc)CC(=O)NC1CN(CC(=O)O)C1=O;0,0,0,0;1,1,1,0;False;False
1569;cc(O)cccCC(=O)NC1CN(CC(=O)O)C1=O;0,0,0,0;1,0,0,0;False;False
1570;CNCCNC(=O)C(N)c1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1571;cc(cccO)C(N)C(=O)NCCNCC(=O)O;0,0,0,0;1,0,0,0;False;False
1572;ccc(cc)C(N)C(=O)NCCNCC(=O)O;0,0,0,0;1,1,0,0;False;False
1573;cc(O)cccC(N)C(=O)NCCNCC(=O)O;0,0,0,0;1,0,0,0;False;False
1574;O=C(O)CNCCNC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1575;CNC(=O)CNC(=O)C(N)c1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1576;cc(cccO)C(N)C(=O)NCC(=O)NCC(=O)O;0,0,0,0;1,0,0,0;False;False
1577;ccc(cc)C(N)C(=O)NCC(=O)NCC(=O)O;0,0,0,0;1,1,0,0;False;False
1578;cc(O)cccC(N)C(=O)NCC(=O)NCC(=O)O;0,0,0,0;1,0,0,0;False;False
1579;O=C(O)CNC(=O)CNC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1580;ccC(N)C(=O)NC1C(=O)N2CC(C)(C)SC12;0,0,0,0;1,0,0,0;False;False
1581;cC(N)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O;0,0,0,0;1,0,0,0;False;False
1582;cc(c)CC(=O)NC1C(=O)N2CC(C)(C)SC12;0,0,0,0;1,0,1,0;False;False
1583;cccCC(=O)NC1C(=O)N2CC(C)(C)SC12;0,0,0,0;1,0,1,0;False;False
1584;ccCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O;0,0,0,0;1,0,1,0;False;False
1585;cc(c)C(N)C(=O)NCC1NCC(C)(C)S1;0,0,0,0;1,0,0,0;False;False
1586;cccC(N)C(=O)NCC1NCC(C)(C)S1;0,0,0,0;1,0,0,0;False;False
1587;ccC(N)C(=O)NCC1NC(C(=O)O)C(C)(C)S1;0,0,0,0;1,0,0,0;False;False
1588;ccc(c)CC(=O)NCC1NCC(C)(C)S1;0,0,0,0;1,0,1,0;False;False
1589;cc(c)CC(=O)NCC1NC(C(=O)O)C(C)(C)S1;0,0,0,0;1,0,1,0;False;False
1590;CC1(C)CNC(CNC(=O)CccccO)S1;0,0,0,0;1,0,0,0;False;False
1591;cccCC(=O)NCC1NC(C(=O)O)C(C)(C)S1;0,0,0,0;1,0,1,0;False;False
1592;cc(c)C(N)C(=O)NC(C=O)CSC(C)(C)C;0,0,0,0;1,0,0,0;False;False
1593;cccC(N)C(=O)NC(C=O)CSC(C)(C)C;0,0,0,0;1,0,0,0;False;False
1594;ccC(N)C(=O)NC(C=O)CSC(C)(C)CC(=O)O;0,0,0,0;1,0,0,0;False;False
1595;ccc(c)CC(=O)NC(C=O)CSC(C)(C)C;0,0,0,0;1,0,1,0;False;False
1596;cc(c)CC(=O)NC(C=O)CSC(C)(C)CC(=O)O;0,0,0,0;1,0,1,0;False;False
1597;CC(C)(C)SCC(C=O)NC(=O)CccccO;0,0,0,0;1,0,0,0;False;False
1598;cccCC(=O)NC(C=O)CSC(C)(C)CC(=O)O;0,0,0,0;1,0,1,0;False;False
1599;ccc(c)C(N)C(=O)NCCSC(C)(C)C;0,0,0,0;1,0,0,0;False;False
1600;cc(c)C(N)C(=O)NCCSC(C)(C)CC(=O)O;0,0,0,0;1,0,0,0;False;False
1601;CC(C)(C)SCCNC(=O)C(N)ccccO;0,0,0,0;1,0,0,0;False;False
1602;cccC(N)C(=O)NCCSC(C)(C)CC(=O)O;0,0,0,0;1,0,0,0;False;False
1603;cc(cccO)CC(=O)NCCSC(C)(C)C;0,0,0,0;1,0,0,0;False;False
1604;ccc(cc)CC(=O)NCCSC(C)(C)C;0,0,0,0;1,0,1,0;False;False
1605;ccc(c)CC(=O)NCCSC(C)(C)CC(=O)O;0,0,0,0;1,0,1,0;False;False
1606;cc(O)cccCC(=O)NCCSC(C)(C)C;0,0,0,0;1,0,0,0;False;False
1607;CC(C)(CC(=O)O)SCCNC(=O)CccccO;0,0,0,0;1,0,0,0;False;False
1608;cc(c)C(N)C(=O)NCC(=O)NCC(C)(C)S;0,0,0,0;1,0,0,0;False;False
1609;cccC(N)C(=O)NCC(=O)NCC(C)(C)S;0,0,0,0;1,0,0,0;False;False
1610;ccC(N)C(=O)NCC(=O)NC(C(=O)O)C(C)(C)S;0,0,0,0;1,0,0,0;False;False
1611;ccc(c)CC(=O)NCC(=O)NCC(C)(C)S;0,0,0,0;1,0,1,0;False;False
1612;cc(c)CC(=O)NCC(=O)NC(C(=O)O)C(C)(C)S;0,0,0,0;1,0,1,0;False;False
1613;CC(C)(S)CNC(=O)CNC(=O)CccccO;0,0,0,0;1,0,0,0;False;False
1614;cccCC(=O)NCC(=O)NC(C(=O)O)C(C)(C)S;0,0,0,0;1,0,1,0;False;False
1615;cc(c)C(N)C(=O)NC1C(=O)NC1SC(C)C;0,0,0,0;1,0,0,0;False;False
1616;cccC(N)C(=O)NC1C(=O)NC1SC(C)C;0,0,0,0;1,0,0,0;False;False
1617;ccc(c)CC(=O)NC1C(=O)NC1SC(C)C;0,0,0,0;1,0,1,0;False;False
1618;CC(C)SC1NC(=O)C1NC(=O)CccccO;0,0,0,0;1,0,0,0;False;False
1619;ccc(c)C(N)C(=O)NCC(N)SC(C)C;0,0,0,0;1,0,0,0;False;False
1620;CC(C)SC(N)CNC(=O)C(N)ccccO;0,0,0,0;1,0,0,0;False;False
1621;cc(cccO)CC(=O)NCC(N)SC(C)C;0,0,0,0;1,0,0,0;False;False
1622;ccc(cc)CC(=O)NCC(N)SC(C)C;0,0,0,0;1,0,1,0;False;False
1623;cc(O)cccCC(=O)NCC(N)SC(C)C;0,0,0,0;1,0,0,0;False;False
1624;ccc(c)C(N)C(=O)NC(C=O)CSC(C)C;0,0,0,0;1,0,0,0;False;False
1625;CC(C)SCC(C=O)NC(=O)C(N)ccccO;0,0,0,0;1,0,0,0;False;False
1626;cc(cccO)CC(=O)NC(C=O)CSC(C)C;0,0,0,0;1,0,0,0;False;False
1627;ccc(cc)CC(=O)NC(C=O)CSC(C)C;0,0,0,0;1,0,1,0;False;False
1628;cc(O)cccCC(=O)NC(C=O)CSC(C)C;0,0,0,0;1,0,0,0;False;False
1629;cc(cccO)C(N)C(=O)NCCSC(C)C;0,0,0,0;1,0,0,0;False;False
1630;ccc(cc)C(N)C(=O)NCCSC(C)C;0,0,0,0;1,0,0,0;False;False
1631;cc(O)cccC(N)C(=O)NCCSC(C)C;0,0,0,0;1,0,0,0;False;False
1632;CC(C)SCCNC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1633;cc(c)C(N)C(=O)NC1CN(CC(C)C)C1=O;0,0,0,0;1,0,0,0;False;False
1634;cccC(N)C(=O)NC1CN(CC(C)C)C1=O;0,0,0,0;1,0,0,0;False;False
1635;ccC(N)C(=O)NC1CN(C(C(=O)O)C(C)C)C1=O;0,0,0,0;1,0,0,0;False;False
1636;ccc(c)CC(=O)NC1CN(CC(C)C)C1=O;0,0,0,0;1,0,1,0;False;False
1637;cc(c)CC(=O)NC1CN(C(C(=O)O)C(C)C)C1=O;0,0,0,0;1,0,1,0;False;False
1638;CC(C)CN1CC(NC(=O)CccccO)C1=O;0,0,0,0;1,0,0,0;False;False
1639;cccCC(=O)NC1CN(C(C(=O)O)C(C)C)C1=O;0,0,0,0;1,0,1,0;False;False
1640;ccc(c)C(N)C(=O)NCC(=O)NCC(C)C;0,0,0,0;1,0,0,0;False;False
1641;cc(c)C(N)C(=O)NCC(=O)NC(C(=O)O)C(C)C;0,0,0,0;1,0,0,0;False;False
1642;CC(C)CNC(=O)CNC(=O)C(N)ccccO;0,0,0,0;1,0,0,0;False;False
1643;cccC(N)C(=O)NCC(=O)NC(C(=O)O)C(C)C;0,0,0,0;1,0,0,0;False;False
1644;cc(cccO)CC(=O)NCC(=O)NCC(C)C;0,0,0,0;1,0,0,0;False;False
1645;ccc(cc)CC(=O)NCC(=O)NCC(C)C;0,0,0,0;1,0,1,0;False;False
1646;ccc(c)CC(=O)NCC(=O)NC(C(=O)O)C(C)C;0,0,0,0;1,0,1,0;False;False
1647;cc(O)cccCC(=O)NCC(=O)NCC(C)C;0,0,0,0;1,0,0,0;False;False
1648;CC(C)C(NC(=O)CNC(=O)CccccO)C(=O)O;0,0,0,0;1,0,0,0;False;False
1649;ccc(c)C(N)C(=O)NCCNCC(C)C;0,0,0,0;1,0,0,0;False;False
1650;cc(c)C(N)C(=O)NCCNC(C(=O)O)C(C)C;0,0,0,0;1,0,0,0;False;False
1651;CC(C)CNCCNC(=O)C(N)ccccO;0,0,0,0;1,0,0,0;False;False
1652;cccC(N)C(=O)NCCNC(C(=O)O)C(C)C;0,0,0,0;1,0,0,0;False;False
1653;cc(cccO)CC(=O)NCCNCC(C)C;0,0,0,0;1,0,0,0;False;False
1654;ccc(cc)CC(=O)NCCNCC(C)C;0,0,0,0;1,0,1,0;False;False
1655;ccc(c)CC(=O)NCCNC(C(=O)O)C(C)C;0,0,0,0;1,0,1,0;False;False
1656;cc(O)cccCC(=O)NCCNCC(C)C;0,0,0,0;1,0,0,0;False;False
1657;CC(C)C(NCCNC(=O)CccccO)C(=O)O;0,0,0,0;1,0,0,0;False;False
1658;cc(c)C(N)C(=O)NC1C(=O)N2CC(C)SC12;0,0,0,0;1,0,0,0;False;False
1659;cccC(N)C(=O)NC1C(=O)N2CC(C)SC12;0,0,0,0;1,0,0,0;False;False
1660;ccC(N)C(=O)NC1C(=O)N2C1SC(C)C2C(=O)O;0,0,0,0;1,0,0,0;False;False
1661;ccc(c)CC(=O)NC1C(=O)N2CC(C)SC12;0,0,0,0;1,0,1,0;False;False
1662;cc(c)CC(=O)NC1C(=O)N2C1SC(C)C2C(=O)O;0,0,0,0;1,0,1,0;False;False
1663;CC1CN2C(=O)C(NC(=O)CccccO)C2S1;0,0,0,0;1,0,0,0;False;False
1664;cccCC(=O)NC1C(=O)N2C1SC(C)C2C(=O)O;0,0,0,0;1,0,1,0;False;False
1665;ccc(c)C(N)C(=O)NCC1NCC(C)S1;0,0,0,0;1,0,0,0;False;False
1666;cc(c)C(N)C(=O)NCC1NC(C(=O)O)C(C)S1;0,0,0,0;1,0,0,0;False;False
1667;CC1CNC(CNC(=O)C(N)ccccO)S1;0,0,0,0;1,0,0,0;False;False
1668;cccC(N)C(=O)NCC1NC(C(=O)O)C(C)S1;0,0,0,0;1,0,0,0;False;False
1669;cc(cccO)CC(=O)NCC1NCC(C)S1;0,0,0,0;1,0,0,0;False;False
1670;ccc(cc)CC(=O)NCC1NCC(C)S1;0,0,0,0;1,0,1,0;False;False
1671;ccc(c)CC(=O)NCC1NC(C(=O)O)C(C)S1;0,0,0,0;1,0,1,0;False;False
1672;cc(O)cccCC(=O)NCC1NCC(C)S1;0,0,0,0;1,0,0,0;False;False
1673;CC1SC(CNC(=O)CccccO)NC1C(=O)O;0,0,0,0;1,0,0,0;False;False
1674;cc(c)C(N)C(=O)NC(C=O)CSC(C)CC(=O)O;0,0,0,0;1,0,0,0;False;False
1675;cccC(N)C(=O)NC(C=O)CSC(C)CC(=O)O;0,0,0,0;1,0,0,0;False;False
1676;ccc(c)CC(=O)NC(C=O)CSC(C)CC(=O)O;0,0,0,0;1,0,1,0;False;False
1677;CC(CC(=O)O)SCC(C=O)NC(=O)CccccO;0,0,0,0;1,0,0,0;False;False
1678;ccc(c)C(N)C(=O)NCCSC(C)CC(=O)O;0,0,0,0;1,0,0,0;False;False
1679;CC(CC(=O)O)SCCNC(=O)C(N)ccccO;0,0,0,0;1,0,0,0;False;False
1680;cc(cccO)CC(=O)NCCSC(C)CC(=O)O;0,0,0,0;1,0,0,0;False;False
1681;ccc(cc)CC(=O)NCCSC(C)CC(=O)O;0,0,0,0;1,0,1,0;False;False
1682;cc(O)cccCC(=O)NCCSC(C)CC(=O)O;0,0,0,0;1,0,0,0;False;False
1683;ccc(c)C(N)C(=O)NCC(=O)NCC(C)S;0,0,0,0;1,0,0,0;False;False
1684;cc(c)C(N)C(=O)NCC(=O)NC(C(=O)O)C(C)S;0,0,0,0;1,0,0,0;False;False
1685;CC(S)CNC(=O)CNC(=O)C(N)ccccO;0,0,0,0;1,0,0,0;False;False
1686;cccC(N)C(=O)NCC(=O)NC(C(=O)O)C(C)S;0,0,0,0;1,0,0,0;False;False
1687;cc(cccO)CC(=O)NCC(=O)NCC(C)S;0,0,0,0;1,0,0,0;False;False
1688;ccc(cc)CC(=O)NCC(=O)NCC(C)S;0,0,0,0;1,0,1,0;False;False
1689;ccc(c)CC(=O)NCC(=O)NC(C(=O)O)C(C)S;0,0,0,0;1,0,1,0;False;False
1690;cc(O)cccCC(=O)NCC(=O)NCC(C)S;0,0,0,0;1,0,0,0;False;False
1691;CC(S)C(NC(=O)CNC(=O)CccccO)C(=O)O;0,0,0,0;1,0,0,0;False;False
1692;ccc(c)C(N)C(=O)NC1C(=O)NC1SCC;0,0,0,0;1,0,0,0;False;False
1693;CCSC1NC(=O)C1NC(=O)C(N)ccccO;0,0,0,0;1,0,0,0;False;False
1694;cc(cccO)CC(=O)NC1C(=O)NC1SCC;0,0,0,0;1,0,0,0;False;False
1695;ccc(cc)CC(=O)NC1C(=O)NC1SCC;0,0,0,0;1,0,1,0;False;False
1696;cc(O)cccCC(=O)NC1C(=O)NC1SCC;0,0,0,0;1,0,0,0;False;False
1697;cc(cccO)C(N)C(=O)NCC(N)SCC;0,0,0,0;1,0,0,0;False;False
1698;ccc(cc)C(N)C(=O)NCC(N)SCC;0,0,0,0;1,0,0,0;False;False
1699;cc(O)cccC(N)C(=O)NCC(N)SCC;0,0,0,0;1,0,0,0;False;False
1700;CCSC(N)CNC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1701;cc(cccO)C(N)C(=O)NC(C=O)CSCC;0,0,0,0;1,0,0,0;False;False
1702;ccc(cc)C(N)C(=O)NC(C=O)CSCC;0,0,0,0;1,0,0,0;False;False
1703;cc(O)cccC(N)C(=O)NC(C=O)CSCC;0,0,0,0;1,0,0,0;False;False
1704;CCSCC(C=O)NC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1705;CCSCCNC(=O)C(N)c1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1706;ccc(c)C(N)C(=O)NC1CN(CCC)C1=O;0,0,0,0;1,0,0,0;False;False
1707;cc(c)C(N)C(=O)NC1CN(C(CC)C(=O)O)C1=O;0,0,0,0;1,0,0,0;False;False
1708;CCCN1CC(NC(=O)C(N)ccccO)C1=O;0,0,0,0;1,0,0,0;False;False
1709;cccC(N)C(=O)NC1CN(C(CC)C(=O)O)C1=O;0,0,0,0;1,0,0,0;False;False
1710;cc(cccO)CC(=O)NC1CN(CCC)C1=O;0,0,0,0;1,0,0,0;False;False
1711;ccc(cc)CC(=O)NC1CN(CCC)C1=O;0,0,0,0;1,0,1,0;False;False
1712;ccc(c)CC(=O)NC1CN(C(CC)C(=O)O)C1=O;0,0,0,0;1,0,1,0;False;False
1713;cc(O)cccCC(=O)NC1CN(CCC)C1=O;0,0,0,0;1,0,0,0;False;False
1714;CCC(C(=O)O)N1CC(NC(=O)CccccO)C1=O;0,0,0,0;1,0,0,0;False;False
1715;cc(cccO)C(N)C(=O)NCC(=O)NCCC;0,0,0,0;1,0,0,0;False;False
1716;ccc(cc)C(N)C(=O)NCC(=O)NCCC;0,0,0,0;1,0,0,0;False;False
1717;ccc(c)C(N)C(=O)NCC(=O)NC(CC)C(=O)O;0,0,0,0;1,0,0,0;False;False
1718;cc(O)cccC(N)C(=O)NCC(=O)NCCC;0,0,0,0;1,0,0,0;False;False
1719;CCC(NC(=O)CNC(=O)C(N)ccccO)C(=O)O;0,0,0,0;1,0,0,0;False;False
1720;CCCNC(=O)CNC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1721;cc(cccO)CC(=O)NCC(=O)NC(CC)C(=O)O;0,0,0,0;1,0,0,0;False;False
1722;ccc(cc)CC(=O)NCC(=O)NC(CC)C(=O)O;0,0,0,0;1,0,1,0;False;False
1723;cc(O)cccCC(=O)NCC(=O)NC(CC)C(=O)O;0,0,0,0;1,0,0,0;False;False
1724;cc(cccO)C(N)C(=O)NCCNCCC;0,0,0,0;1,0,0,0;False;False
1725;ccc(cc)C(N)C(=O)NCCNCCC;0,0,0,0;1,0,0,0;False;False
1726;ccc(c)C(N)C(=O)NCCNC(CC)C(=O)O;0,0,0,0;1,0,0,0;False;False
1727;cc(O)cccC(N)C(=O)NCCNCCC;0,0,0,0;1,0,0,0;False;False
1728;CCC(NCCNC(=O)C(N)ccccO)C(=O)O;0,0,0,0;1,0,0,0;False;False
1729;CCCNCCNC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1730;cc(cccO)CC(=O)NCCNC(CC)C(=O)O;0,0,0,0;1,0,0,0;False;False
1731;ccc(cc)CC(=O)NCCNC(CC)C(=O)O;0,0,0,0;1,0,1,0;False;False
1732;cc(O)cccCC(=O)NCCNC(CC)C(=O)O;0,0,0,0;1,0,0,0;False;False
1733;ccc(c)C(N)C(=O)NC1C(=O)N2CCSC12;0,0,0,0;1,0,0,0;False;False
1734;cc(c)C(N)C(=O)NC1C(=O)N2C(C(=O)O)CSC12;0,0,0,0;1,0,0,0;False;False
1735;NC(ccccO)C(=O)NC1C(=O)N2CCSC12;0,0,0,0;1,0,0,0;False;False
1736;cccC(N)C(=O)NC1C(=O)N2C(C(=O)O)CSC12;0,0,0,0;1,0,0,0;False;False
1737;cc(cccO)CC(=O)NC1C(=O)N2CCSC12;0,0,0,0;1,0,0,0;False;False
1738;ccc(cc)CC(=O)NC1C(=O)N2CCSC12;0,0,0,0;1,0,1,0;False;False
1739;ccc(c)CC(=O)NC1C(=O)N2C(C(=O)O)CSC12;0,0,0,0;1,0,1,0;False;False
1740;cc(O)cccCC(=O)NC1C(=O)N2CCSC12;0,0,0,0;1,0,0,0;False;False
1741;O=C(CccccO)NC1C(=O)N2C(C(=O)O)CSC12;0,0,0,0;1,0,0,0;False;False
1742;cc(cccO)C(N)C(=O)NCC1NCCS1;0,0,0,0;1,0,0,0;False;False
1743;ccc(cc)C(N)C(=O)NCC1NCCS1;0,0,0,0;1,0,0,0;False;False
1744;ccc(c)C(N)C(=O)NCC1NC(C(=O)O)CS1;0,0,0,0;1,0,0,0;False;False
1745;cc(O)cccC(N)C(=O)NCC1NCCS1;0,0,0,0;1,0,0,0;False;False
1746;NC(ccccO)C(=O)NCC1NC(C(=O)O)CS1;0,0,0,0;1,0,0,0;False;False
1747;O=C(Cc1ccc(O)cc1)NCC1NCCS1;0,0,0,0;1,0,0,0;False;False
1748;cc(cccO)CC(=O)NCC1NC(C(=O)O)CS1;0,0,0,0;1,0,0,0;False;False
1749;ccc(cc)CC(=O)NCC1NC(C(=O)O)CS1;0,0,0,0;1,0,1,0;False;False
1750;cc(O)cccCC(=O)NCC1NC(C(=O)O)CS1;0,0,0,0;1,0,0,0;False;False
1751;ccc(c)C(N)C(=O)NC(C=O)CSCCC(=O)O;0,0,0,0;1,0,0,0;False;False
1752;NC(ccccO)C(=O)NC(C=O)CSCCC(=O)O;0,0,0,0;1,0,0,0;False;False
1753;cc(cccO)CC(=O)NC(C=O)CSCCC(=O)O;0,0,0,0;1,0,0,0;False;False
1754;ccc(cc)CC(=O)NC(C=O)CSCCC(=O)O;0,0,0,0;1,0,1,0;False;False
1755;cc(O)cccCC(=O)NC(C=O)CSCCC(=O)O;0,0,0,0;1,0,0,0;False;False
1756;cc(cccO)C(N)C(=O)NCCSCCC(=O)O;0,0,0,0;1,0,0,0;False;False
1757;ccc(cc)C(N)C(=O)NCCSCCC(=O)O;0,0,0,0;1,0,0,0;False;False
1758;cc(O)cccC(N)C(=O)NCCSCCC(=O)O;0,0,0,0;1,0,0,0;False;False
1759;O=C(O)CCSCCNC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1760;cc(cccO)C(N)C(=O)NCC(=O)NCCS;0,0,0,0;1,0,0,0;False;False
1761;ccc(cc)C(N)C(=O)NCC(=O)NCCS;0,0,0,0;1,0,0,0;False;False
1762;ccc(c)C(N)C(=O)NCC(=O)NC(CS)C(=O)O;0,0,0,0;1,0,0,0;False;False
1763;cc(O)cccC(N)C(=O)NCC(=O)NCCS;0,0,0,0;1,0,0,0;False;False
1764;NC(ccccO)C(=O)NCC(=O)NC(CS)C(=O)O;0,0,0,0;1,0,0,0;False;False
1765;O=C(CNC(=O)Cc1ccc(O)cc1)NCCS;0,0,0,0;1,0,0,0;False;False
1766;cc(cccO)CC(=O)NCC(=O)NC(CS)C(=O)O;0,0,0,0;1,0,0,0;False;False
1767;ccc(cc)CC(=O)NCC(=O)NC(CS)C(=O)O;0,0,0,0;1,0,1,0;False;False
1768;cc(O)cccCC(=O)NCC(=O)NC(CS)C(=O)O;0,0,0,0;1,0,0,0;False;False
1769;cc(cccO)C(N)C(=O)NC1C(=O)NC1SC;0,0,0,0;1,0,0,0;False;False
1770;ccc(cc)C(N)C(=O)NC1C(=O)NC1SC;0,0,0,0;1,1,0,0;False;False
1771;cc(O)cccC(N)C(=O)NC1C(=O)NC1SC;0,0,0,0;1,0,0,0;False;False
1772;CSC1NC(=O)C1NC(=O)Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1773;CSC(N)CNC(=O)C(N)c1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1774;CSCC(C=O)NC(=O)C(N)c1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
1775;cc(cccO)C(N)C(=O)NC1CN(CC)C1=O;0,0,0,0;1,0,0,0;False;False
1776;ccc(cc)C(N)C(=O)NC1CN(CC)C1=O;0,0,0,0;1,0,0,0;False;False
1777;ccc(c)C(N)C(=O)NC1CN(C(C)C(=O)O)C1=O;0,0,0,0;1,0,0,0;False;False
1778;cc(O)cccC(N)C(=O)NC1CN(CC)C1=O;0,0,0,0;1,0,0,0;False;False
1779;CC(C(=O)O)N1CC(NC(=O)C(N)ccccO)C1=O;0,0,0,0;1,0,0,0;False;False
1780;CCN1CC(NC(=O)Cc2ccc(O)cc2)C1=O;0,0,0,0;1,0,0,0;False;False
1781;cc(cccO)CC(=O)NC1CN(C(C)C(=O)O)C1=O;0,0,0,0;1,0,0,0;False;False
